                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0763,                 4.2426,                 4.0367,                 2.7608,                 8.8572,                 4.0825,                0.00278,                0.27873,                0.00243,                0.00068,                 2.6961,                 4.0565,                  4.356,                 2.5328,                 10.327,                 4.3016,             0.00047098,             0.00047098,             0.00047098
                      2,                 2.7506,                 3.7206,                 3.2542,                 2.3059,                 5.6623,                 3.0036,                0.04835,                0.00483,                0.01624,                0.00401,                 2.4867,                 5.5871,                 3.2329,                 2.0104,                 6.1064,                 3.0597,             0.00094263,             0.00094263,             0.00094263
                      3,                 2.3731,                 3.2891,                 2.8249,                 2.0346,                 4.1706,                 2.5052,                 0.0024,                0.41551,                0.01006,                0.00422,                  2.532,                 4.6287,                 3.4038,                 2.1997,                 5.3378,                 3.2112,              0.0014096,              0.0014096,              0.0014096
                      4,                 2.1902,                 2.9621,                 2.6069,                 1.9368,                 3.5613,                 2.3153,                0.15739,                0.21491,                0.11303,                0.04327,                 1.9401,                 3.3216,                  2.619,                 1.8364,                 3.8318,                 2.4819,              0.0014078,              0.0014078,              0.0014078
                      5,                 2.1053,                  2.838,                 2.4833,                 1.9042,                 3.3089,                 2.2117,                0.20759,                0.27073,                 0.1582,                0.06207,                 1.9465,                 2.4209,                 2.6175,                 1.8481,                  2.799,                 2.4914,              0.0014078,              0.0014078,              0.0014078
                      6,                  2.037,                 2.6798,                 2.4017,                 1.8841,                 3.1048,                 2.1428,                0.19691,                0.26597,                0.15103,                0.07409,                 1.7806,                  2.362,                 2.4149,                 1.6392,                  2.967,                 2.2955,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.9853,                 2.5935,                 2.3293,                 1.8564,                 2.9784,                 2.1035,                0.23382,                0.36564,                0.18836,                0.09393,                 1.6959,                 2.1336,                 2.3307,                 1.6525,                 2.5646,                 2.2816,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.9138,                 2.4688,                 2.2523,                 1.7873,                 2.8466,                 2.0519,                0.26048,                0.51545,                0.23535,                0.10829,                 1.7914,                 2.0602,                 2.4037,                 1.7115,                 2.3906,                 2.2503,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.8735,                 2.4003,                 2.1958,                  1.779,                  2.749,                 2.0098,                0.25542,                 0.4539,                0.23574,                0.11473,                 1.6159,                 2.0155,                 2.2588,                 1.5885,                 2.3745,                 2.1792,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.8537,                 2.3668,                 2.1725,                 1.7567,                 2.7195,                 1.9945,                0.24829,                0.42627,                 0.2257,                0.11403,                 1.6348,                 1.9924,                  2.225,                 1.6354,                 2.3626,                 2.1862,              0.0013724,              0.0013724,              0.0013724
