epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4227,1.20105,2.63746,1.55841,0.80078,0.72548,0.81383,0.63472,0.77113,0.92238,1.21694,0.0033,0.0033,0.0033
2,121.506,0.88724,1.02631,1.27509,0.78309,0.75534,0.83064,0.61774,0.89502,0.97918,1.35603,0.0066005,0.0066005,0.0066005
3,178.698,0.97478,0.99756,1.32195,0.61962,0.49561,0.53385,0.32308,1.43554,2.05889,1.89235,0.009868,0.009868,0.009868
4,235.219,1.0677,1.09889,1.3882,0.65809,0.54792,0.58638,0.34583,1.54433,1.8259,2.42873,0.0098515,0.0098515,0.0098515
5,291.893,1.03998,1.0212,1.36501,0.83964,0.8078,0.8629,0.61192,1.00176,0.82962,1.41267,0.009802,0.009802,0.009802
6,348.602,1.01748,0.9603,1.34384,0.85142,0.80766,0.87531,0.62384,1.01269,0.85737,1.44296,0.0097525,0.0097525,0.0097525
7,405.372,0.99624,0.92704,1.32625,0.7951,0.71317,0.77984,0.5379,1.11117,1.08857,1.5436,0.009703,0.009703,0.009703
8,462.286,0.9657,0.87248,1.30877,0.89816,0.86825,0.92736,0.68662,0.91336,0.67087,1.32969,0.0096535,0.0096535,0.0096535
9,519.092,0.94294,0.842,1.29023,0.89939,0.87532,0.93355,0.71671,0.84099,0.60046,1.27029,0.009604,0.009604,0.009604
10,575.948,0.93285,0.82437,1.27999,0.91502,0.87075,0.92913,0.70648,0.85956,0.60036,1.27515,0.0095545,0.0095545,0.0095545
11,632.595,0.92063,0.79622,1.27488,0.91853,0.89543,0.94398,0.73446,0.8101,0.54875,1.24241,0.009505,0.009505,0.009505
12,689.437,0.89328,0.77878,1.25431,0.91035,0.87187,0.93709,0.72801,0.81382,0.59998,1.25367,0.0094555,0.0094555,0.0094555
13,745.982,0.87753,0.75254,1.24391,0.92585,0.88968,0.94198,0.74718,0.77729,0.53979,1.21328,0.009406,0.009406,0.009406
